Star Name,Star Mass [Ms],Star Mass Error Lower [Ms],Star Mass Error Upper [Ms],Star Temperature [K],Star Temperature Error Lower [K],Star Temperature Error Upper [K],Star Radius [Rs],Star Radius Error Lower [Rs],Star Radius Error Upper [Rs],Star Distance [pc],Star Distance Error Lower [pc],Star Distance Error Upper [pc],Star log(g),Star log(g) Error Lower,Star log(g) Error Upper,Gaia ID,Star H Mag,Star J Mag,Star K Mag,Star V Mag,Star Gaia Mag,Star W1 Mag,Star W2 Mag,Star W3 Mag,Star W4 Mag,Star T Mag,Star Metallicity,Star Metallicity Error Lower,Star Metallicity Error Upper,Metallicity Ratio,Star Age [Gyr],Star Age Error Lower [Gyr],Star Age Error Upper [Gyr],Star Spectral Type,Star RA,Star Dec,Planet Name,Planet Radius [Re],Planet Radius Error Upper [Re],Planet Radius Error Lower [Re],Planet Radius [Rj],Planet Radius Error Upper [Rj],Planet Radius Error Lower [Rj],Planet Mass [Me],Planet Mass Error Upper [Me],Planet Mass Error Lower [Me],Planet Mass [Mj],Planet Mass Error Upper [Mj],Planet Mass Error Lower [Mj],Mass Flag,RV Flag,RV Amplitude [m/s],Planet Period [days],Planet Period Error Lower [days],Planet Period Error Upper [days],Planet Temperature [K],Planet Semi-major Axis [m],Planet Semi-major Axis [AU],Planet Albedo,Molecular Weight,Transit Duration [s],Impact Parameter,Heat Redistribution Factor,Inclination,Inclination Error Upper,Inclination Error Lower,Eccentricity,Eccentricity Error Upper,Eccentricity Error Lower,Eccentricity Flag,Periastron,Periastron Error Upper,Periastron Error Lower,Transit Mid Time [JD - 2450000],Transit Mid Time Error Upper [days],Transit Mid Time Error Lower [days],Transit Mid Time Flag,Eclipse Mid Time [JD - 2450000],Eclipse Duration [s],Transit Flag,Transit Depth [%],Transit Depth Error Upper [%],Transit Depth Error Lower [%],"Known (Y=1,N=0)",Discovery Year,Type,Preferred Method,Tier 1 Observations,Tier 2 Observations,Tier 3 Observations
55 Cnc,0.91,-0.02,0.02,5172,-18,18,0.94,-0.01,0.01,12.5855,-0.0123,0.0124,4.43,-0.02,0.02,Gaia DR2 704967037090946688,4.265,4.768,4.015,5.95084,5.72973,4.001,3.296,4.051,4.014,0,0.35,-0.1,0.1,[Fe/H],10.2,-2.5,2.5,G8 V,133.1468373,28.3298154,55 Cnc e,1.871899782,0.033626942,-0.033626942,0.167,0.003,-0.003,7.739121701,0.368680952,-0.298758702,0.02435,0.00116,-0.00094,0,1,6,0.7365474,-1.40E-06,1.30E-06,1880.057222,2314082889,0.015478815,0.3,2.3,5448.370778,0.39,1,83.59,-0.44,0.47,0.05,-0.03,0.03,0,86,-33.4,30.7,7063.2096,0.0006,-0.0004,0,7063.577874,6020.413103,1,0.0375,0.000494,-0.000494,1,2004,K-VH-SN,Transit,6,15,24
AU Mic,0.5,-0.03,0.03,3588,-87,87,0.7,-0.02,0.02,9.7221,-0.004625,0.004625,4.39,-0.03,0.03,Gaia DR2 6794047652729201024,4.831,5.436,4.529,8.81,7.84038,4.449,4.008,4.313,4.14,0,,,,,0.022,-0.003,0.003,M1,311.2911369,-31.34245,AU Mic b,4.068860005,0.168134711,-0.168134711,0.363,0.015,-0.015,11.69926365,4.999440836,-4.999440836,0.03681,0.01573,-0.01573,0,1,5.8,8.4629991,,,586.8677302,9650967306,0.064554965,0.1,2.3,12190.14485,0.18,1,89.5,-0.3,0.3,0.186,-0.035,0.036,0,88.528,-0.218,0.218,8330.39046,,,0,8334.62196,17758.81266,1,0.287229,0.021705,-0.021705,2,2020,M-W-N,Transit,1,1,1
AU Mic,0.5,-0.03,0.03,3700,-100,100,0.75,-0.03,0.03,9.7221,-0.004625,0.004625,4.39,-0.03,0.03,Gaia DR2 6794047652729201024,4.831,5.436,4.529,8.81,7.84038,4.449,4.008,4.313,4.14,0,,,,,0.022,-0.003,0.003,M1,311.2911369,-31.34245,AU Mic c,3.239395431,0.15692573,-0.15692573,0.289,0.014,-0.014,22.2003142,6.699822811,-6.699822811,0.06985,0.02108,-0.02108,0,1,8.5,18.858991,,,479.5932681,16465197715,0.110135102,0.1,2.3,16357.64246,0.3,1,89.39,-0.38,0.4,0.041,-0.026,0.047,0,153,-94,124,8342.2243,,,0,8351.653795,16978.14177,1,,,,2,2021,M-T-SN,Transit,10,17,25
CoRoT-11,1.27,-0.05,0.05,6440,-120,120,1.37,-0.03,0.03,655.037,-23.209,24.947,4.22,-0.23,0.23,Gaia DR2 4285511294172309504,11.416,11.589,11.248,12.897,12.841,11.173,11.265,11.47,9.198,0,-0.03,-0.08,0.08,[Fe/H],2,-1,1,F6 V,280.6872998,5.9376586,CoRoT-11 b,16.02884245,0.336269422,-0.336269422,1.43,0.03,-0.03,832.7104253,187.5187599,-197.0536121,2.62,0.59,-0.62,0,1,334,2.99433,-1.10E-05,1.10E-05,1675.07684,6587171861,0.04406135,0.3,2.3,8905.291201,0.818,1,83.17,-0.15,0.15,0,,,0,,,,4597.679,0.0003,-0.0003,0,4599.176165,0,1,1.1449,0.010725,-0.010675,1,2010,F-VH-MJ,Eclipse,2,11,23
CoRoT-1,0.95,-0.15,0.15,5950,-150,150,1.11,-0.05,0.05,787.909,-23.491,23.491,4.25,-0.3,0.3,Gaia DR2 3105507886130792448,12.218,12.462,12.149,13.623,13.457,12.098,12.136,12.29,9.091,0,-0.3,-0.25,0.25,[M/H],1.6,-0.5,0.5,G0 V,102.0798591,-3.1021394,CoRoT-1 b,16.70138129,0.896718458,-0.896718458,1.49,0.08,-0.08,390.9289401,31.78284066,-31.78284066,1.23,0.1,-0.1,0,1,190,1.5089557,-6.40E-06,6.40E-06,1837.334012,3786664617,0.02532886,0.3,2.3,9236.164852,0.35,1,85.1,-0.5,0.5,0,,,0,,,,4159.4532,0.0001,-0.0001,0,4160.207678,0,1,1.92654,0.058737,-0.057855,1,2008,G-VH-MJ,Eclipse,1,9,18
CoRoT-2,0.96,-0.08,0.08,5625,-120,120,0.91,-0.03,0.03,213.283,-2.43,2.485,4.53,-0.02,0.02,Gaia DR2 4287820848378092672,10.438,10.783,10.31,12.516,12.2489,10.064,10.098,10.189,9.035,0,0.04,-0.05,0.05,[Fe/H],2.7,-2.7,3.2,,291.7770457,1.3836634,CoRoT-2 b,16.43236575,0.470777191,-0.493195152,1.466,0.042,-0.044,1052.012026,50.85254506,-50.85254506,3.31,0.16,-0.16,0,1,0,1.7429935,-1.00E-06,1.00E-06,1496.310943,4183298959,0.027981933,0.3,2.3,8340.735748,0.221,1,88.08,-0.16,0.18,0.0143,-0.0076,0.0077,0,102,-5,17,4237.53556,0.0002,-0.00021,0,4238.407057,8577.378045,1,2.75,0.012,-0.012,1,2008,G-H-MJ,Eclipse,1,0,1
CoRoT-35,1.01,-0.06,0.07,6390,-130,130,1.65,-0.11,0.1,1123.21,-50.92,55.9,4.01,-0.05,0.05,Gaia DR2 4213081309275729792,13.054,13.43,12.935,15.635,15.2625,12.781,12.815,12.327,8.895001,0,-0.5,-0.1,0.1,[Fe/H],6.1,-1.3,1.3,F6 V,289.3143526,-2.7747085,CoRoT-35 b,18.83108763,1.23298788,-1.23298788,1.68,0.11,-0.11,349.6112473,117.5965104,-117.5965104,1.1,0.37,-0.37,0,1,150,3.22748,-8.00E-05,8.00E-05,1848.234922,6415750664,0.04291472,0.3,2.3,14995.66583,0.58,1,84.1,-0.1,0.1,0,,,0,,,,6074.2415,0.0018,-0.0018,0,6075.85524,0,1,1.257,0.034,-0.034,1,2022,F-VH-MJ,Eclipse,2,15,30
DS Tuc A,1.01,-0.06,0.06,5428,-80,80,0.96,-0.03,0.03,44.0622,-0.0691,0.0693,4.6,-0.15,0.15,Gaia DR2 6387058411482257536,6.759,7.122,6.676,8.17,8.31926,6.767,6.65,6.728,6.589,0,0,,,,0.045,-0.004,0.004,G6 V,354.9154673,-69.196043,DS Tuc A b,5.705371192,0.168134711,-0.168134711,0.509,0.015,-0.015,27.79890392,0,0,0.087465133,0,0,1,0,0,8.138268,-1.10E-05,1.10E-05,879.83315,11885745570,0.079503315,0.3,2.3,13070.42363,0.18,1,89.5,-0.41,0.34,0,,,0,,,,8332.30997,0.00026,-0.00026,0,8336.379104,0,1,0.2936,0.0026,-0.0026,2,2019,G-W-N,Transit,1,2,4
EPIC 246851721,1.32,-0.04,0.04,6202,-50,52,1.59,-0.03,0.03,372.632,-17.644,19.456,4.16,-0.02,0.02,Gaia DR2 3393939026234131584,9.967,10.199,9.893,11.237,11.2549,9.813,9.816,9.754,8.609,0,0.141,-0.085,0.082,[Fe/H],3.02,-0.46,0.44,F5 V,78.9198197,16.2786991,EPIC 246851721 b,11.78063875,0.493195152,-0.493195152,1.051,0.044,-0.044,953.4852198,349.6112473,-381.3940879,3,1.1,-1.2,0,1,270,6.180235,-1.40E-05,1.40E-05,1356.194867,10816645993,0.072352147,0.3,2.3,14781.29807,0.647,1,86.21,-0.17,0.17,0,,,0,,,,7865.11032,0.0001,-0.0001,0,7868.200437,0,1,0.464,0.035,-0.035,1,2018,F-H-J,Eclipse,2,18,35
GJ 1214,0.18,-0.01,0.01,3250,-100,100,0.21,-0.01,0.01,14.6427,-0.0372,0.0372,5.03,-0.04,0.04,Gaia DR2 4393265392167891712,9.094,9.75,8.782,15.1,13.0089,8.598,8.442,8.254,8.084,0,0.29,-0.12,0.12,[Fe/H],3,,,M4 V,258.8313991,4.9606795,GJ 1214 b,2.746200279,0.044835923,-0.056044904,0.245,0.004,-0.005,8.171368334,0.429068349,-0.429068349,0.02571,0.00135,-0.00135,0,1,14.36,1.58040433,-1.30E-07,1.30E-07,603.9487151,2243025902,0.015003518,0.1,2.3,3035.292692,0.325,1,88.7,-0.1,0.1,0,,,1,0,,,5701.413328,6.60E-05,-5.90E-05,0,5702.20353,0,1,,,,1,2009,M-W-SN,Transit,1,1,3
