Target Name,Mass [MJ],Mass [ME],Radius [RJ],Radius [RE],SMA [au],Host,Teff [K],log(L) [Lsun],R [Rsun],M [Msun],Instrument,EAP [mon],Proposal ID,Status,Type
55 Cnc e,0.0270,8.58,0.1673,1.8754,0.015,K0IV-V,5172,-0.195,0.9644,0.9747,NIRCam / GTS,12,1952,,Eclipse
55 Cnc e,0.0270,8.58,0.1673,1.8754,0.015,K0IV-V,5172,-0.195,0.9644,0.9747,MIRI / LRS,12,1952,,Eclipse
GJ 1132 b,0.0052,1.65,0.1008,1.1299,0.015,M4,3270,-2.280,0.2264,0.1958,MIRI / LRS,12,1274,,Eclipse
GJ 1132 b,0.0052,1.65,0.1008,1.1299,0.015,M4,3270,-2.280,0.2264,0.1958,NIRSpec / BOTS,0,1981,,Transit
GJ 1214 b,0.0260,8.26,0.2446,2.7418,0.014,M4.5,3250,-2.300,0.2150,0.1780,NIRCam / GTS,12,1185,,Transit
GJ 1214 b,0.0260,8.26,0.2446,2.7418,0.014,M4.5,3250,-2.300,0.2150,0.1780,MIRI / LRS,12,1803,Completed,Phase Curve
GJ 3470 b,0.0396,12.58,0.4310,4.8313,0.036,M1.5,3552,-1.446,0.4997,0.4978,NIRCam / GTS,12,1185,,Transit
GJ 3470 b,0.0396,12.58,0.4310,4.8313,0.036,M1.5,3552,-1.446,0.4997,0.4978,NIRSpec / BOTS,12,1201,,Eclipse
GJ 375 b,0.0066,2.10,,,0.033,M2.5,3272,,0.7200,0.4700,NIRSpec / BOTS,0,2512,,Transit
GJ 4102 b,,,,,,M3.5,,,,,NIRSpec / BOTS,0,1981,,Transit
GJ 436 b,0.0700,22.24,0.3800,4.2596,0.029,M2.5,3586,-1.633,0.4168,0.4412,MIRI / LRS,12,1177,,Eclipse
GJ 436 b,0.0700,22.24,0.3800,4.2596,0.029,M2.5,3586,-1.633,0.4168,0.4412,NIRCam / GTS,12,1185,,Eclipse
GL 486 b,0.0089,2.83,0.1164,1.3048,0.017,M3.5,3340,-1.917,0.3280,0.3230,NIRSpec / BOTS,0,1981,,Transit
GL 486 b,0.0089,2.83,0.1164,1.3048,0.017,M3.5,3340,-1.917,0.3280,0.3230,MIRI / LRS,12,1743,,Eclipse
HAT-P-1 b,0.0525,16.68,1.3190,14.7853,0.056,G0,6051,0.225,1.1783,1.1260,NIRISS / SOSS,12,1201,,Eclipse
HAT-P-1 b,0.0525,16.68,1.3190,14.7853,0.056,G0,6051,0.225,1.1783,1.1260,NIRISS / SOSS,12,1201,,Transit
HAT-P-12 b,0.2105,66.89,0.9190,10.3015,0.038,K?,4652,-0.679,0.7036,0.7400,NIRISS / SOSS,12,1281,,Transit
HAT-P-12 b,0.2105,66.89,0.9190,10.3015,0.038,K?,4652,-0.679,0.7036,0.7400,NIRSpec / BOTS,12,1281,,Transit
HAT-P-12 b,0.2105,66.89,0.9190,10.3015,0.038,K?,4652,-0.679,0.7036,0.7400,MIRI / LRS,12,1281,,Transit
HAT-P-26 b,0.0585,18.59,0.6330,7.0956,0.048,K1,5061,-0.359,0.8598,0.8460,MIRI / LRS,12,1177,,Transit
HAT-P-26 b,0.0585,18.59,0.6330,7.0956,0.048,K1,5061,-0.359,0.8598,0.8460,MIRI / LRS,12,1312,,Eclipse
HAT-P-26 b,0.0585,18.59,0.6330,7.0956,0.048,K1,5061,-0.359,0.8598,0.8460,NIRISS / SOSS,12,1312,,Transit
HAT-P-26 b,0.0585,18.59,0.6330,7.0956,0.048,K1,5061,-0.359,0.8598,0.8460,NIRSpec / BOTS,12,1312,,T + E
HD 149026 b,0.3570,113.44,0.8110,9.0909,0.043,G0 IV,6084,0.420,1.4600,1.1400,NIRCam / GTS,12,1274,,Eclipse
HD 15337 b,0.0227,7.21,0.1460,1.6366,0.053,K1,5175,-0.339,0.8482,0.8800,NIRSpec / BOTS,0,2512,,Transit
HD 15337 c,0.0277,8.80,0.2250,2.5221,0.124,K1,5175,-0.339,0.8482,0.8800,NIRSpec / BOTS,0,2512,,Transit
HD 189733 b,1.1380,361.62,1.1000,12.3305,0.031,K2,3213,-2.319,0.2236,0.1929,NIRCam / GTS,12,1185,,Eclipse
HD 189733 b,1.1380,361.62,1.1000,12.3305,0.031,K2,3213,-2.319,0.2236,0.1929,NIRCam / GTS,12,1274,,Eclipse
