Target Name,Mass [MJ],Mass [ME],Radius [RJ],Radius [RE],SMA [au],T_eq [K],Host,Teff [K],log(L) [Lsun],R [Rsun],TD [%],a/Rs,M [Msun],Instrument,λ [μm],# Obs.,EAP [mon],Proposal ID,Type,Observation Date(s) [MM/DD/YY]
55 Cnc e,0.0270,8.58,0.1673,1.8754,0.015,1958,K0IV-V,5172,-0.195,0.9644,0.0318,3.4323,0.9747,NIRCam / GTS,4.0 – 5.0,5,12,2084,Eclipse,11/18/22; 11/20/22; 11/22/22; 03/14/23
55 Cnc e,0.0270,8.58,0.1673,1.8754,0.015,1958,K0IV-V,5172,-0.195,0.9644,0.0318,3.4323,0.9747,MIRI / LRS,5.0 – 14.0,1,12,1952,Eclipse,03/23/23
55 Cnc e,0.0270,8.58,0.1673,1.8754,0.015,1958,K0IV-V,5172,-0.195,0.9644,0.0318,3.4323,0.9747,NIRCam / GTS,4.0 – 5.0,1,12,1952,Eclipse,11/24/22
GJ 1132 b,0.0052,1.65,0.1008,1.1299,0.015,529,M4,3270,-2.280,0.2264,0.2092,14.6204,0.1958,NIRSpec / BOTS,2.87 – 5.18,2,0,1981,Transit,03/05/23; 02/25/23
GJ 1132 b,0.0052,1.65,0.1008,1.1299,0.015,529,M4,3270,-2.280,0.2264,0.2092,14.6204,0.1958,MIRI / LRS,5.0 – 14.0,1,12,1274,Eclipse,04/01/23
GJ 1214 b,0.0260,8.26,0.2446,2.7418,0.014,596,M4.5,3250,-2.300,0.2150,1.3657,14.0960,0.1780,NIRCam / GTS,4.0 – 5.0,1,12,1185,Transit,08/20/23
GJ 1214 b,0.0260,8.26,0.2446,2.7418,0.014,596,M4.5,3250,-2.300,0.2150,1.3657,14.0960,0.1780,NIRCam / GTS,2.5 – 4.0,1,12,1185,Transit,07/18/23
GJ 1214 b,0.0260,8.26,0.2446,2.7418,0.014,596,M4.5,3250,-2.300,0.2150,1.3657,14.0960,0.1780,MIRI / LRS,5.0 – 14.0,1,12,1803,Phase Curve,07/22/22
GJ 341 b,0.0695,22.10,,,0.029,,M0,3767,,0.5300,0.0000,11.8014,0.4700,NIRCam / GTS,4.0 – 5.0,3,0,1981,Transit,03/02/23; 03/10/23; 03/17/23
GJ 3470 b,0.0396,12.58,0.4310,4.8313,0.036,593,M1.5,3552,-1.446,0.4997,0.7850,15.3000,0.4978,NIRSpec / BOTS,2.87 – 5.18,1,12,1201,Eclipse,11/22/23
GJ 3470 b,0.0396,12.58,0.4310,4.8313,0.036,593,M1.5,3552,-1.446,0.4997,0.7850,15.3000,0.4978,NIRCam / GTS,4.0 – 5.0,1,12,1185,Transit,11/03/22
GJ 3470 b,0.0396,12.58,0.4310,4.8313,0.036,593,M1.5,3552,-1.446,0.4997,0.7850,15.3000,0.4978,NIRCam / GTS,2.5 – 4.0,1,12,1185,Transit,10/31/22
GJ 367 b,0.0017,0.55,0.0641,0.7185,0.007,1745,M1.0,3522,-1.540,0.4570,0.0208,3.3393,0.4540,MIRI / LRS,5.0 – 14.0,1,12,2508,Phase Curve,02/22/23
GJ 375 b,0.0066,2.10,,,0.033,,M2.5,3272,,0.7200,0.0000,9.8514,0.4700,NIRSpec / BOTS,2.87 – 5.27,1,0,2512,Transit,12/04/23
GJ 4102 b,0.0031,0.98,0.0884,0.9910,0.021,552,M3.5,3312,-2.048,0.2875,0.0998,15.8720,0.5498,NIRSpec / BOTS,2.87 – 5.18,3,0,1981,Transit,08/31/22; 09/04/22; 09/27/22
GJ 436 b,0.0700,22.24,0.3800,4.2596,0.029,686,M2.5,3586,-1.633,0.4168,0.8771,14.8880,0.4412,MIRI / LRS,5.0 – 12.0,2,12,1177,Eclipse,05/26/23; 12/02/23
GJ 436 b,0.0700,22.24,0.3800,4.2596,0.029,686,M2.5,3586,-1.633,0.4168,0.8771,14.8880,0.4412,NIRCam / GTS,2.5 – 4.0,3,12,1185,Eclipse,01/16/23; 04/21/23; 12/05/23
GJ 436 b,0.0700,22.24,0.3800,4.2596,0.029,686,M2.5,3586,-1.633,0.4168,0.8771,14.8880,0.4412,NIRCam / GTS,4.0 – 5.0,3,12,1185,Eclipse,01/11/23; 12/31/22; 12/07/23
GL 486 b,0.0089,2.83,0.1164,1.3048,0.017,701,M3.5,3340,-1.917,0.3280,0.1329,11.3367,0.3230,MIRI / LRS,5.0 – 14.0,2,12,1743,Eclipse,05/29/23; 06/01/23
HAT-P-1 b,0.0525,16.68,1.3190,14.7853,0.056,1322,G0,6051,0.225,1.1783,1.3222,10.1441,1.1260,NIRISS / SOSS,0.6 – 2.8,1,12,1201,Transit,07/20/23
HAT-P-1 b,0.0525,16.68,1.3190,14.7853,0.056,1322,G0,6051,0.225,1.1783,1.3222,10.1441,1.1260,NIRISS / SOSS,0.6 – 2.8,1,12,1201,Eclipse,07/13/22
HAT-P-12 b,0.2105,66.89,0.9190,10.3015,0.038,963,K?,4652,-0.679,0.7036,1.8001,11.7306,0.7400,NIRISS / SOSS,0.6 – 2.8,1,12,1281,Transit,12/20/23
HAT-P-12 b,0.2105,66.89,0.9190,10.3015,0.038,963,K?,4652,-0.679,0.7036,1.8001,11.7306,0.7400,MIRI / LRS,5.0 – 14.0,1,12,1281,Transit,06/07/23
HAT-P-12 b,0.2105,66.89,0.9190,10.3015,0.038,963,K?,4652,-0.679,0.7036,1.8001,11.7306,0.7400,NIRSpec / BOTS,2.87 – 5.18,1,12,1281,Transit,02/11/23
HAT-P-26 b,0.0585,18.59,0.6330,7.0956,0.048,1001,K1,5061,-0.359,0.8598,0.5719,11.9744,0.8460,MIRI / LRS,5.0 – 14.0,1,12,1312,Eclipse,06/17/23
HAT-P-26 b,0.0585,18.59,0.6330,7.0956,0.048,1001,K1,5061,-0.359,0.8598,0.5719,11.9744,0.8460,NIRSpec / BOTS,2.87 – 5.18,1,12,1312,Transit,06/15/23
HAT-P-26 b,0.0585,18.59,0.6330,7.0956,0.048,1001,K1,5061,-0.359,0.8598,0.5719,11.9744,0.8460,MIRI / LRS,5.0 – 12.0,1,12,1177,Transit,06/10/23
HAT-P-26 b,0.0585,18.59,0.6330,7.0956,0.048,1001,K1,5061,-0.359,0.8598,0.5719,11.9744,0.8460,NIRSpec / BOTS,2.87 – 5.18,1,12,1312,Eclipse,06/04/23
HAT-P-26 b,0.0585,18.59,0.6330,7.0956,0.048,1001,K1,5061,-0.359,0.8598,0.5719,11.9744,0.8460,NIRISS / SOSS,0.6 – 2.8,1,12,1312,Transit,01/14/23
HATS-72 b,0.1254,39.85,0.7224,8.0977,0.067,739,K?,4656,-0.659,0.7214,1.0581,0.0665,0.7311,NIRSpec / BOTS,2.87 – 5.18,1,12,2594,Transit,11/29/23
HATS-72 b,0.1254,39.85,0.7224,8.0977,0.067,739,K?,4656,-0.659,0.7214,1.0581,0.0665,0.7311,NIRISS / SOSS,0.6 – 2.8,1,12,2594,Transit,06/14/23
HD 149026 b,0.3570,113.44,0.8110,9.0909,0.043,1626,G0 IV,6084,0.420,1.4600,0.3256,6.3127,1.1400,NIRCam / GTS,4.0 – 5.0,1,12,1274,Eclipse,08/04/22
HD 149026 b,0.3570,113.44,0.8110,9.0909,0.043,1626,G0 IV,6084,0.420,1.4600,0.3256,6.3127,1.1400,NIRCam / GTS,2.5 – 4.0,1,12,1274,Eclipse,07/15/22
HD 15337 b,0.0227,7.21,0.1460,1.6366,0.053,1001,K1,5175,-0.339,0.8482,0.0313,13.3042,0.8800,NIRSpec / BOTS,2.87 – 5.27,1,0,2512,Transit,07/16/23
HD 15337 c,0.0277,8.80,0.2250,2.5221,0.124,642,K1,5175,-0.339,0.8482,0.0743,31.2965,0.8800,NIRSpec / BOTS,2.87 – 5.27,2,0,2512,Transit,07/24/23; 08/10/23
