	Target Name	Instrument	Type	pl_name	pl_orbper	pl_orbsmax	pl_rade	pl_bmasse	pl_eqt	st_teff
0	55 Cnc e	NIRCam / GTS	Eclipse	55 Cnc e	0.7365474	0.01544	1.875	7.99	1958.0	5172.0
1	55 Cnc e	MIRI / LRS	Eclipse	55 Cnc e	0.7365474	0.01544	1.875	7.99	1958.0	5172.0
2	55 Cnc e	NIRCam / GTS	Eclipse	55 Cnc e	0.7365474	0.01544	1.875	7.99	1958.0	5172.0
3	GJ 1132 b	NIRSpec / BOTS	Transit	GJ 1132 b	1.628931	0.0153	1.13	1.66	529.0	3270.0
4	GJ 1132 b	MIRI / LRS	Eclipse	GJ 1132 b	1.628931	0.0153	1.13	1.66	529.0	3270.0
5	GJ 1214 b	NIRCam / GTS	Transit	GJ 1214 b	1.58040433	0.0149	2.742	8.17	596.0	3250.0
6	GJ 1214 b	NIRCam / GTS	Transit	GJ 1214 b	1.58040433	0.0149	2.742	8.17	596.0	3250.0
7	GJ 1214 b	MIRI / LRS	Phase Curve	GJ 1214 b	1.58040433	0.0149	2.742	8.17	596.0	3250.0
8	GJ 3470 b	NIRSpec / BOTS	Eclipse	GJ 3470 b	3.3366496	0.0355	4.57	13.9	593.5	3600.0
9	GJ 3470 b	NIRCam / GTS	Transit	GJ 3470 b	3.3366496	0.0355	4.57	13.9	593.5	3600.0
10	GJ 3470 b	NIRCam / GTS	Transit	GJ 3470 b	3.3366496	0.0355	4.57	13.9	593.5	3600.0
11	GJ 357 b	NIRSpec / BOTS	Transit	GJ 357 b	3.93072	0.035	1.217	1.84	525.0	3505.0
12	GJ 367 b	MIRI / LRS	Phase Curve	GJ 367 b	0.321962	0.0071	0.718	0.546	1745.0	3522.0
13	GJ 436 b	NIRCam / GTS	Eclipse	GJ 436 b	2.64388312	0.0291	4.17	22.1	686.0	3586.11
14	GJ 436 b	NIRCam / GTS	Eclipse	GJ 436 b	2.64388312	0.0291	4.17	22.1	686.0	3586.11
15	GJ 436 b	MIRI / LRS	Eclipse	GJ 436 b	2.64388312	0.0291	4.17	22.1	686.0	3586.11
16	GJ 486 b	MIRI / LRS	Eclipse	GJ 486 b	1.467119	0.01734	1.305	2.82	701.0	3340.0
17	GJ 486 b	NIRSpec / BOTS	Transit	GJ 486 b	1.467119	0.01734	1.305	2.82	701.0	3340.0
18	HAT-P-1 b	NIRISS / SOSS	Transit	HAT-P-1 b	4.46529976	0.05561	14.785	166.86075	1322.0	5980.0
19	HAT-P-1 b	NIRISS / SOSS	Eclipse	HAT-P-1 b	4.46529976	0.05561	14.785	166.86075	1322.0	5980.0
20	HAT-P-12 b	NIRISS / SOSS	Transit	HAT-P-12 b	3.2130598	0.0384	10.749	67.059	963.0	4650.0
21	HAT-P-12 b	MIRI / LRS	Transit	HAT-P-12 b	3.2130598	0.0384	10.749	67.059	963.0	4650.0
22	HAT-P-12 b	NIRSpec / BOTS	Transit	HAT-P-12 b	3.2130598	0.0384	10.749	67.059	963.0	4650.0
23	HAT-P-26 b	MIRI / LRS	Eclipse	HAT-P-26 b	4.23452	0.0479	7.062	22.2481	1001.0	5079.0
24	HAT-P-26 b	NIRSpec / BOTS	Transit	HAT-P-26 b	4.23452	0.0479	7.062	22.2481	1001.0	5079.0
25	HAT-P-26 b	MIRI / LRS	Transit	HAT-P-26 b	4.23452	0.0479	7.062	22.2481	1001.0	5079.0
26	HAT-P-26 b	NIRSpec / BOTS	Eclipse	HAT-P-26 b	4.23452	0.0479	7.062	22.2481	1001.0	5079.0
27	HAT-P-26 b	NIRISS / SOSS	Transit	HAT-P-26 b	4.23452	0.0479	7.062	22.2481	1001.0	5079.0
28	HATS-72 b	NIRSpec / BOTS	Transit	HATS-72 b	7.3279474	0.066517	8.097	39.85588	739.3	4656.1
29	HATS-72 b	NIRISS / SOSS	Transit	HATS-72 b	7.3279474	0.066517	8.097	39.85588	739.3	4656.1
30	HD 149026 b	NIRCam / GTS	Eclipse	HD 149026 b	2.87589	0.04364	8.295	120.7754	1626.0	6179.0
31	HD 149026 b	NIRCam / GTS	Eclipse	HD 149026 b	2.87589	0.04364	8.295	120.7754	1626.0	6179.0
32	HD 15337 b	NIRSpec / BOTS	Transit	HD 15337 b	4.75615	0.0522	1.64	7.51	1001.0	5125.0
33	HD 15337 c	NIRSpec / BOTS	Transit	HD 15337 c	17.1784	0.1268	2.39	8.11	642.0	5125.0
34	HD 189733 b	MIRI / MRS	Transit	HD 189733 b	2.21857567	0.03126	12.666	359.1479	1209.0	5052.0
35	HD 189733 b	MIRI / LRS	Eclipse	HD 189733 b	2.21857567	0.03126	12.666	359.1479	1209.0	5052.0
36	HD 189733 b	NIRCam / GTS	Transit	HD 189733 b	2.21857567	0.03126	12.666	359.1479	1209.0	5052.0
37	HD 189733 b	NIRCam / GTS	Eclipse	HD 189733 b	2.21857567	0.03126	12.666	359.1479	1209.0	5052.0
