pl_name	pl_orbsmax	pl_eqt	pl_orbper	pl_masse	pl_masseerr1	pl_masseerr2	pl_rade	pl_radeerr1	pl_radeerr2	st_rad	st_mass	st_teff	st_spectype	sy_jmag	sy_vmag	sy_kmag	sy_dist	sy_pnum	hostname	disc_year	TSM	td_perc	sig_prim_ppm	sig_seco_ppm	ARIEL	JWST
GJ 1214 b	0.0149	596.0	1.58040433	8.17	0.43	-0.43	2.742	0.05	-0.053	0.21	0.18	3250.0	M4 V	9.75	15.1	8.782	14.6427	1	GJ 1214	2009	482.0	1.4329629213392692	1907.0	153.0	True	True
HD 219134 b	0.03876	1015.0	3.092926	4.74	0.19	-0.19	1.602	0.055	-0.055	0.78	0.81	4699.0		3.981	5.56911	3.261	6.53127	6	HD 219134	2015	292.0	0.035454752630148356	81.0	6.0		
55 Cnc e	0.01544	1945.9518625843057	0.7365474	7.99	0.32	-0.33	1.875	0.029	-0.029	0.94	0.91	5172.0		4.768	5.95084	4.015	12.5855	5	55 Cnc	2004	255.0	0.03344147914737418	102.0	8.0	True	True
HD 136352 c	0.1721	677.0	27.59221	11.24	0.65	-0.63	2.916	0.075	-0.073	1.06	0.87	5664.0		4.308	5.65	4.159	14.682	3	HD 136352	2019	234.0	0.0636065661187673	74.0	6.0	True	
HD 191939 d	0.2132	540.0	38.353037	2.8	0.6	-0.6	2.995	0.07	-0.07	0.94	0.81	5348.0	G9 V	7.597	8.97	7.18	53.6089	6	HD 191939	2020	227.0	0.08532505713462758	328.0	26.0	True	
GJ 3090 b	0.03165	693.0	2.853136	3.34	0.72	-0.72	2.13	0.11	-0.11	0.52	0.52	3556.0	M2 V	8.168	11.403	7.294	22.4751	1	GJ 3090	2022	217.0	0.14102339351768856	415.0	33.0	True	True
HD 219134 c	0.0653	782.0	6.76458	4.36	0.22	-0.22	1.511	0.047	-0.047	0.78	0.81	4699.0		3.981	5.56911	3.261	6.53127	6	HD 219134	2015	205.0	0.03154121107966513	57.0	5.0		
HD 260655 c	0.04749	557.0	5.70588	3.09	0.48	-0.48	1.533	0.051	-0.046	0.44	0.44	3803.0	M0 V	6.674	9.63	5.862	10.0055	2	HD 260655	2022	196.0	0.10202758294457787	188.0	15.0	True	
TOI-431 d	0.098	633.0	12.46103	9.9	1.53	-1.49	3.29	0.09	-0.09	0.73	0.78	4850.0		7.305	9.12	6.723	32.5686	3	TOI-431	2021	189.0	0.1707201238597734	239.0	19.0	True	
TOI-1064 c	0.09429	634.0	12.226574	2.5	1.8	-2.0	2.651	0.043	-0.042	0.73	0.75	4734.0		9.097	10.938	8.467	68.0726	2	TOI-1064	2022	169.0	0.11084404774363123	496.0	40.0	True	
TOI-178 d	0.0592	690.0	6.5577	3.01	0.8	-1.03	2.572	0.075	-0.078	0.65	0.65	4316.0	K	9.372	11.955	8.656	62.699	6	TOI-178	2021	155.0	0.1315993840973588	516.0	41.0	True	
HD 191939 b	0.0804	880.0	8.8803256	10.0	0.7	-0.7	3.41	0.075	-0.075	0.94	0.81	5348.0	G9 V	7.597	8.97	7.18	53.6089	6	HD 191939	2020	153.0	0.11060931233381878	221.0	18.0	True	
HD 207496 b	0.0629	743.0	6.441008	6.1	1.6	-1.6	2.25	0.12	-0.1	0.77	0.8	4819.0	K2.5 V	6.57	8.23	5.967	23.606	1	HD 207496	2023	143.0	0.07176657615694478	131.0	10.0		
GJ 9827 d	0.0559	681.0	6.20147	3.53	0.87	-0.88	2.022	0.046	-0.043	0.6	0.61	4305.0		7.984	10.37	7.193	29.661	3	GJ 9827	2017	141.0	0.09545494752985882	248.0	20.0	True	True
HIP 9618 b	0.1438	663.4	20.772907	10.0	3.1	-3.1	3.9	0.044	-0.044	0.97	1.02	5609.0		7.922	9.2	7.559	67.5478	2	HIP 9618	2023	139.0	0.1358702539192212	234.0	19.0		
TOI-270 c	0.04526	488.0	5.6605731	6.15	0.37	-0.37	2.355	0.064	-0.064	0.38	0.39	3506.0	M	9.099	12.603	8.251	22.4793	3	TOI-270	2019	137.0	0.3228146764026168	401.0	32.0	True	
HD 73583 b	0.0604	714.0	6.398042	10.2	3.4	-3.1	2.79	0.1	-0.1	0.65	0.73	4511.0	K4 V	7.649	9.67	6.948	31.5666	2	HD 73583	2022	136.0	0.1548532536286595	201.0	16.0	True	
K2-138 f	0.10447	741.0570093334318	12.75758	1.63	2.12	-1.18	2.904	0.164	-0.111	0.86	0.94	5356.3		10.756	12.246	10.305	202.585	6	K2-138	2017	136.0	0.09583738675297666	842.0	67.0	True	
HD 136352 b	0.0964	905.0	11.57797	4.72	0.42	-0.42	1.664	0.043	-0.043	1.06	0.87	5664.0		4.308	5.65	4.159	14.682	3	HD 136352	2019	136.0	0.02071254928816068	44.0	4.0		
HD 136352 d	0.425	431.0	107.245	8.82	0.93	-0.92	2.562	0.088	-0.079	1.06	0.87	5664.0		4.308	5.65	4.159	14.682	3	HD 136352	2019	127.0	0.0491004148836929	41.0	3.0		
LP 791-18 c	0.02961	324.4	4.9899093	7.1	0.7	-0.7	2.438	0.096	-0.096	0.18	0.14	2960.0	M(6.1 +/- 0.7) V	11.559	16.91	10.644	26.4927	3	LP 791-18	2019	126.0	1.5419171320814111	1143.0	91.0	True	
HD 97658 b		751.0	9.4897116	8.3	1.1	-1.1	2.12	0.06	-0.06	0.73	0.85	5212.0	K1 V	6.203	7.76	5.734	21.5618	1	HD 97658	2010	117.0	0.07088668107975403	90.0	7.0		
TOI-178 g	0.1275	470.0	20.7095	3.94	1.31	-1.62	2.87	0.14	-0.13	0.65	0.65	4316.0	K	9.372	11.955	8.656	62.699	6	TOI-178	2021	114.0	0.16386104556903247	373.0	30.0	True	
TOI-561 c	0.0884	800.0	10.778831	5.39	0.69	-0.68	2.91	0.04	-0.04	0.84	0.81	5372.0	G9 V	8.879	10.252	8.394	85.799	4	TOI-561	2020	111.0	0.10087093521277023	290.0	23.0	True	
